Model,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,MCC,PR-AUC_0,PR-AUC_1,ROC-AUC_0,ROC-AUC_1
LR_SS,0.5611,0.1313,0.4131,0.1993,0.4984,-0.0022,0.1328,0.1645,0.4903,0.5097
NN_SS,0.5867,0.1828,0.6104,0.2809,0.5968,0.1324,0.0993,0.2174,0.3693,0.6307
KNN_SS,0.8484,0.2412,0.0684,0.1066,0.5178,0.0635,0.3122,0.174,0.4443,0.5557
DT_SS,0.6432,0.1747,0.4562,0.2526,0.5639,0.0911,0.1346,0.1862,0.4113,0.5887
RF_SS,0.6391,0.1751,0.4659,0.2545,0.5657,0.0932,0.127,0.1868,0.4103,0.5897
AB_SS,0.5605,0.1789,0.6474,0.2803,0.5973,0.132,0.0996,0.2217,0.3701,0.6299
XGB_SS,0.6063,0.1858,0.5848,0.282,0.5972,0.1336,0.0992,0.2185,0.3687,0.6313
NB_SS,0.7373,0.174,0.2634,0.2095,0.5364,0.0617,0.109,0.1913,0.4184,0.5816
LR_baseline_FSS,0.5555,0.2184,0.9161,0.3527,0.7083,0.2839,0.0816,0.2827,0.237,0.763
NN_baseline_FSS,0.7415,0.2487,0.4713,0.3211,0.627,0.1988,0.0854,0.265,0.2776,0.7224
KNN_baseline_FSS,0.7055,0.2376,0.5556,0.3328,0.642,0.2081,0.187,0.3063,0.3041,0.6959
DT_baseline_FSS,0.777,0.2744,0.4175,0.3311,0.6247,0.2106,0.3647,0.385,0.3739,0.6261
RF_baseline_FSS,0.8047,0.3313,0.469,0.3883,0.6624,0.282,0.0795,0.3299,0.2007,0.7993
AB_baseline_FSS,0.551,0.2176,0.9234,0.3522,0.7088,0.2851,0.0809,0.294,0.2297,0.7703
XGB_baseline_FSS,0.628,0.2441,0.8653,0.3808,0.7285,0.3103,0.0783,0.3592,0.1949,0.8051
NB_baseline_FSS,0.5256,0.2101,0.9379,0.3433,0.7004,0.276,0.0869,0.2701,0.2425,0.7578
LR_baseline_FMS,0.5555,0.2184,0.9159,0.3527,0.7083,0.2839,0.081,0.2917,0.2316,0.7684
NN_baseline_FMS,0.6245,0.2365,0.8245,0.3674,0.7093,0.2848,0.081,0.2985,0.2311,0.7689
KNN_baseline_FMS,0.7049,0.235,0.5462,0.3286,0.6377,0.2021,0.1848,0.3013,0.3046,0.6954
DT_baseline_FMS,0.7833,0.278,0.4006,0.3282,0.6211,0.2089,0.3729,0.3787,0.3779,0.6221
RF_baseline_FMS,0.8126,0.336,0.4276,0.3763,0.6494,0.2706,0.0801,0.3285,0.2049,0.7951
AB_baseline_FMS,0.5541,0.2184,0.9197,0.3529,0.7091,0.2851,0.0812,0.2925,0.2331,0.7669
XGB_baseline_FMS,0.6655,0.2566,0.8045,0.3887,0.7244,0.309,0.0785,0.3539,0.1976,0.8024
NB_baseline_FMS,0.5236,0.2095,0.9392,0.3426,0.6997,0.2753,0.0868,0.2699,0.2422,0.7582
KNN_MI_FSS,0.8369,0.2873,0.1622,0.2046,0.5509,0.13,0.2114,0.2439,0.337,0.663
DT_MI_FSS,0.599,0.2262,0.8423,0.3562,0.7021,0.2747,0.1337,0.331,0.26,0.74
RF_MI_FSS,0.5738,0.2318,0.9611,0.3735,0.7379,0.3239,0.0839,0.3168,0.2305,0.7695
AB_MI_FSS,0.5479,0.2172,0.9291,0.3521,0.7095,0.2863,0.084,0.2594,0.2628,0.7372
XGB_MI_FSS,0.5676,0.2258,0.9351,0.3638,0.7233,0.304,0.0806,0.3021,0.22,0.78
NB_MI_FSS,0.5176,0.2078,0.9418,0.3404,0.6974,0.2728,0.0885,0.2397,0.2626,0.7377
LR_MI_FMS,0.5594,0.2195,0.9129,0.354,0.7092,0.2849,0.0841,0.2288,0.2608,0.7392
NN_MI_FMS,0.5518,0.2191,0.9325,0.3549,0.7132,0.2911,0.0839,0.2497,0.2583,0.7417
KNN_MI_FMS,0.7531,0.2427,0.4126,0.2911,0.6088,0.1753,0.1399,0.3271,0.2863,0.7137
DT_MI_FMS,0.5807,0.2286,0.9155,0.3657,0.7226,0.3023,0.1056,0.3248,0.2434,0.7566
RF_MI_FMS,0.5736,0.2318,0.9614,0.3735,0.738,0.324,0.0838,0.3188,0.229,0.771
AB_MI_FMS,0.5481,0.2172,0.9289,0.3521,0.7095,0.2862,0.084,0.2576,0.2622,0.7378
XGB_MI_FMS,0.5677,0.2258,0.935,0.3638,0.7234,0.304,0.0816,0.3043,0.2307,0.7693
NB_MI_FMS,0.5172,0.2077,0.942,0.3403,0.6972,0.2727,0.0886,0.2396,0.2628,0.7376
LR_Lasso_MI_FSS,0.5595,0.2196,0.913,0.354,0.7093,0.285,0.0844,0.2258,0.2631,0.7369
NN_Lasso_MI_FSS,0.5652,0.2144,0.8617,0.3432,0.6909,0.2596,0.0873,0.2264,0.291,0.709
KNN_Lasso_MI_FSS,0.8405,0.245,0.0987,0.1399,0.5261,0.0786,0.2314,0.223,0.3573,0.6427
DT_Lasso_MI_FSS,0.5936,0.2267,0.8615,0.3587,0.7071,0.2813,0.1366,0.3181,0.2608,0.7392
RF_Lasso_MI_FSS,0.5814,0.2323,0.9401,0.3725,0.7334,0.3173,0.0836,0.3173,0.228,0.772
AB_Lasso_MI_FSS,0.5462,0.2167,0.9301,0.3515,0.7089,0.2857,0.0844,0.2558,0.2659,0.7341
XGB_Lasso_MI_FSS,0.5687,0.2264,0.9358,0.3646,0.7243,0.3052,0.0801,0.33,0.2158,0.7842
NB_Lasso_MI_FSS,0.5479,0.2166,0.9243,0.3509,0.7075,0.2834,0.0857,0.2462,0.2542,0.746
LR_Lasso_MI_FMS,0.5593,0.2195,0.9128,0.3539,0.7091,0.2848,0.0841,0.2297,0.2612,0.7388
