Actual Label,Predicted Label,Prob (Class 0 - Not Spam),Prob (Class 1 - Spam),,,,,,
0,0,0.9888607,0.011139254,,,,,,
0,1,0.28700215,0.71299785,,,,,,
1,1,0.3655371,0.6344629,,,,,,
0,0,0.7865922,0.2134078,,,,,,
0,0,0.9870554,0.012944577,,,,,,
0,0,0.99990994,9.00E-05,,,,,,
0,1,0.2984985,0.7015015,,,,,,
0,0,0.8968186,0.10318141,,,,,,
0,0,0.9730438,0.026956199,,,,,, 
0,0,0.70996463,0.2900354,,,,,,
0,0,0.99927664,0.000723375,,,,,,
0,1,0.33640552,0.6635945,,,,,,
0,1,0.36364144,0.63635856,,,,,,
0,1,0.44202757,0.55797243,,,,,,
0,0,0.9736899,0.026310105,,,,,,
0,0,0.5550078,0.44499218,,,,,,
1,1,0.3655371,0.6344629,,,,,,
0,0,0.508759,0.49124098,,,,,,
0,1,0.3655371,0.6344629,,,,,,
0,0,0.9998253,0.000174676,,,,,,
0,0,0.9819293,0.018070677,,,,,,
0,0,0.8783085,0.12169153,,,,,,
0,0,0.99690616,0.003093813,,,,,,
0,0,0.791793,0.20820703,,,,,,
0,0,0.99507135,0.004928632,,,,,,
0,0,0.93250036,0.06749966,,,,,,
0,0,0.99735844,0.002641536,,,,,,
0,0,0.9803432,0.01965675,,,,,,
0,0,0.9985206,0.001479359,,,,,,
0,0,0.99885666,0.001143345,,,,,,
0,0,0.64389086,0.35610914,,,,,,
0,1,0.33640552,0.6635945,,,,,,
0,1,0.34904188,0.6509581,,,,,,
0,0,0.9930395,0.006960518,,,,,,
0,0,0.9978848,0.002115175,,,,,,
0,0,0.85333985,0.14666015,,,,,,
0,1,0.33640552,0.6635945,,,,,,
0,0,0.99400896,0.005991029,,,,,,
0,0,0.9987185,0.001281505,,,,,,
0,0,0.99441844,0.005581555,,,,,,
0,0,0.99943644,0.000563552,,,,,,
0,0,0.9991014,0.000898595,,,,,,
0,1,0.36364144,0.63635856,,,,,,
0,0,0.75199836,0.24800165,,,,,,
1,1,0.34904188,0.6509581,,,,,,
0,0,0.62496686,0.3750331,,,,,,
0,1,0.36364144,0.63635856,,,,,,
0,0,0.85746723,0.14253278,,,,,,
0,1,0.36364144,0.63635856,,,,,,
0,0,0.996198,0.003802019,,,,,,
0,1,0.33640552,0.6635945,,,,,,
0,0,0.9957227,0.00427726,,,,,,
0,0,0.83416945,0.16583054,,,,,,
0,1,0.2179923,0.7820077,,,,,,
1,1,0.16028649,0.8397135,,,,,,
0,1,0.2465198,0.7534802,,,,,,
0,0,0.6081222,0.39187774,,,,,,
0,1,0.3655371,0.6344629,,,,,,
0,0,0.9769058,0.02309418,,,,,,
0,0,0.95084363,0.049156345,,,,,,
0,0,0.8710093,0.12899072,,,,,,
0,0,0.9229819,0.0770181,,,,,,
0,0,0.9519302,0.048069783,,,,,,
0,0,0.56507385,0.43492615,,,,,,
0,0,0.78766906,0.21233095,,,,,,
0,1,0.36364144,0.63635856,,,,,,
0,0,0.9783261,0.021673894,,,,,,
0,0,0.571266,0.428734,,,,,,
0,1,0.33640552,0.6635945,,,,,,
0,0,0.9928045,0.007195457,,,,,,
0,0,0.9994075,0.000592523,,,,,,
0,1,0.33430046,0.66569954,,,,,,
0,1,0.28800178,0.7119982,,,,,,
0,1,0.3655371,0.6344629,,,,,,
0,0,0.84053767,0.1594623,,,,,,
0,1,0.36364144,0.63635856,,,,,,
0,1,0.36380988,0.6361901,,,,,,
0,1,0.36364144,0.63635856,,,,,,
0,1,0.37370676,0.62629324,,,,,,
0,1,0.3655371,0.6344629,,,,,,
0,1,0.33640552,0.6635945,,,,,,
0,0,0.9997594,0.000240628,,,,,,
0,1,0.37370676,0.62629324,,,,,,
0,0,0.9944094,0.00559063,,,,,,
0,1,0.33430046,0.66569954,,,,,,
1,0,0.86278594,0.13721405,,,,,,
0,0,0.99596155,0.004038425,,,,,,
0,1,0.3655371,0.6344629,,,,,,
0,0,0.99797505,0.002024961,,,,,,
0,1,0.34904188,0.6509581,,,,,,
0,1,0.3655371,0.6344629,,,,,,
0,0,0.9552094,0.044790644,,,,,,
0,1,0.33640552,0.6635945,,,,,,
0,0,0.9351911,0.06480888,,,,,,
0,0,0.8227755,0.17722452,,,,,,
0,0,0.97266746,0.027332522,,,,,,
0,0,0.9917449,0.008255107,,,,,,
1,1,0.3247462,0.6752538,,,,,,
0,1,0.33640552,0.6635945,,,,,,
0,0,0.9996648,0.000335202,,,,,,
0,0,0.8857568,0.11424323,,,,,,
0,1,0.36364144,0.63635856,,,,,,
0,1,0.31896907,0.6810309,,,,,,
0,1,0.31705308,0.6829469,,,,,,
0,0,0.99851614,0.001483883,,,,,,
0,1,0.31896907,0.6810309,,,,,,
0,0,0.99355435,0.006445665,,,,,,
0,0,0.9978734,0.002126548,,,,,,
0,0,0.97159773,0.028402241,,,,,,
0,0,0.87364435,0.12635562,,,,,,
0,1,0.37370676,0.62629324,,,,,,
0,0,0.95468545,0.045314528,,,,,,
0,1,0.3655371,0.6344629,,,,,,
1,1,0.3655371,0.6344629,,,,,,
1,1,0.36364144,0.63635856,,,,,,
0,0,0.9931714,0.00682861,,,,,,
0,0,0.9952399,0.004760073,,,,,,
0,1,0.37370676,0.62629324,,,,,,
0,0,0.5926423,0.4073577,,,,,,
0,0,0.9976269,0.002373075,,,,,,
0,0,0.9750615,0.024938548,,,,,,
0,1,0.31896907,0.6810309,,,,,,
0,1,0.39370972,0.6062903,,,,,,
0,0,0.7359859,0.26401415,,,,,,
0,0,0.94521546,0.05478453,,,,,,
0,1,0.35985154,0.64014846,,,,,,
0,0,0.99397033,0.006029646,,,,,,
1,1,0.21090424,0.78909576,,,,,,
0,0,0.9981805,0.001819481,,,,,,
0,1,0.26160234,0.73839766,,,,,,
0,0,0.99935204,0.000647982,,,,,,
0,0,0.99821335,0.001786673,,,,,,
1,1,0.011285841,0.98871416,,,,,,
0,0,0.99685407,0.003145916,,,,,,
1,1,0.18674934,0.81325066,,,,,,
0,0,0.6852603,0.31473973,,,,,,
0,1,0.36364144,0.63635856,,,,,,
0,0,0.99358857,0.006411436,,,,,,
0,0,0.9943477,0.005652279,,,,,,
0,1,0.3655371,0.6344629,,,,,,
0,0,0.999758,0.000242019,,,,,,
0,1,0.2179923,0.7820077,,,,,,
0,0,0.6221844,0.3778156,,,,,,
0,1,0.18780023,0.8121998,,,,,,
0,1,0.3655371,0.6344629,,,,,,
0,1,0.47386926,0.52613074,,,,,,
1,1,0.3655371,0.6344629,,,,,,
0,1,0.36466736,0.63533264,,,,,,
0,1,0.37370676,0.62629324,,,,,,
0,0,0.9946137,0.005386287,,,,,,
0,1,0.33640552,0.6635945,,,,,,
0,0,0.9809171,0.019082904,,,,,,
0,0,0.999738,0.000262046,,,,,,
0,1,0.3655371,0.6344629,,,,,,
0,0,0.88766515,0.11233487,,,,,,
0,0,0.9502885,0.04971152,,,,,,
0,0,0.99053466,0.009465354,,,,,,
1,1,0.3655371,0.6344629,,,,,,
0,1,0.37370676,0.62629324,,,,,,
0,0,0.9992378,0.000762231,,,,,,
0,1,0.36364144,0.63635856,,,,,,
1,1,0.36364144,0.63635856,,,,,,
1,1,0.2179923,0.7820077,,,,,,
0,1,0.33074415,0.66925585,,,,,,
0,1,0.34904188,0.6509581,,,,,,
0,1,0.33640552,0.6635945,,,,,,
0,0,0.74114823,0.25885174,,,,,,
0,0,0.6628727,0.3371273,,,,,,
0,0,0.95080227,0.049197707,,,,,,
1,1,0.31896907,0.6810309,,,,,,
0,0,0.9887495,0.011250516,,,,,,
0,1,0.3655371,0.6344629,,,,,,
0,0,0.9984893,0.001510694,,,,,,
0,0,0.99841,0.00159003,,,,,,
1,1,0.36364144,0.63635856,,,,,,
0,0,0.9124605,0.08753948,,,,,,
0,1,0.37472433,0.6252757,,,,,,
0,0,0.9869038,0.013096213,,,,,,
0,0,0.9969914,0.003008615,,,,,,
1,1,0.33640552,0.6635945,,,,,,
0,1,0.33640552,0.6635945,,,,,,
0,1,0.3655371,0.6344629,,,,,,
