Model,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,MCC,PR-AUC_0,PR-AUC_1,ROC-AUC_0,ROC-AUC_1,FE
AB,0.5744,0.1799,0.6237,0.2793,0.5953,0.1296,0.0994,0.2224,0.37,0.63,Without FE
AB_FE,0.6004,0.2333,0.8847,0.3693,0.7209,0.2993,0.0806,0.2913,0.2233,0.7767,With FE
DT,0.6312,0.1764,0.4874,0.259,0.5703,0.0989,0.1258,0.1918,0.4033,0.5967,Without FE
DT_FE,0.7858,0.2918,0.4345,0.3492,0.6369,0.2333,0.3562,0.4004,0.362,0.638,With FE
KNN,0.8503,0.2469,0.0645,0.1023,0.5173,0.0641,0.3099,0.1725,0.4459,0.5541,Without FE
KNN_FE,0.7112,0.2464,0.5757,0.3452,0.6538,0.2254,0.1783,0.3199,0.2899,0.7101,With FE
LR,0.5602,0.1307,0.4116,0.1984,0.4972,-0.0038,0.133,0.1626,0.4916,0.5084,Without FE
LR_FE,0.5796,0.2276,0.9108,0.3642,0.72,0.2986,0.0805,0.2975,0.2233,0.7767,With FE
NB,0.7372,0.1727,0.2608,0.2078,0.5353,0.0597,0.1095,0.1906,0.4209,0.5791,Without FE
NB_FE,0.5444,0.2165,0.9336,0.3514,0.7094,0.2865,0.086,0.2773,0.2328,0.7676,With FE
NN,0.5781,0.1803,0.6176,0.2791,0.5948,0.1291,0.0998,0.2159,0.3718,0.6282,Without FE
NN_FE,0.7698,0.2651,0.4181,0.3245,0.6208,0.2014,0.1064,0.2533,0.381,0.619,With FE
RF,0.6261,0.1761,0.4971,0.2601,0.5714,0.1001,0.1208,0.1924,0.4028,0.5972,Without FE
RF_FE,0.8106,0.3478,0.4943,0.4083,0.6765,0.3061,0.0783,0.357,0.1843,0.8157,With FE
XGB,0.6027,0.185,0.5886,0.2815,0.5967,0.1327,0.0999,0.2168,0.3703,0.6297,Without FE
XGB_FE,0.6519,0.2561,0.8572,0.3944,0.7389,0.3259,0.0773,0.3919,0.1804,0.8196,With FE
