,Model,Accuracy,Precision,Recall,F1 Score,Balanced Accuracy,MCC,PR-AUC_0,PR-AUC_1,ROC-AUC_0,ROC-AUC_1
5,AB_FMS,0.7309,0.1651,0.2552,0.2005,0.5293,0.0493,0.0897,0.1988,0.3149,0.6851
13,AB_FSS,0.7329,0.1567,0.2328,0.1873,0.5210,0.0357,0.0883,0.2024,0.3002,0.6998
21,AB_SS,0.5372,0.1743,0.6694,0.2766,0.5932,0.1263,0.1347,0.2735,0.3804,0.6196
3,DT_FMS,0.8021,0.2567,0.2623,0.2595,0.5733,0.1453,0.4420,0.3082,0.4264,0.5736
11,DT_FSS,0.7859,0.2569,0.3271,0.2877,0.5915,0.1656,0.4110,0.3362,0.4084,0.5916
19,DT_SS,0.5372,0.1743,0.6694,0.2766,0.5932,0.1263,0.1347,0.2735,0.3804,0.6196
2,KNN_FMS,0.7656,0.2083,0.2761,0.2375,0.5581,0.1036,0.3511,0.2168,0.4135,0.5865
10,KNN_FSS,0.7594,0.2077,0.2913,0.2425,0.5610,0.1063,0.3241,0.2254,0.3987,0.6013
18,KNN_SS,0.8678,0.0000,0.0000,0.0000,0.5000,0.0000,0.4646,0.2550,0.4454,0.5546
0,LR_FMS,0.6685,0.2370,0.6789,0.3513,0.6729,0.2415,0.0847,0.2317,0.2649,0.7351
8,LR_FSS,0.6564,0.2364,0.7172,0.3556,0.6822,0.2518,0.0844,0.2353,0.2624,0.7376
16,LR_SS,0.6807,0.1465,0.2931,0.1953,0.5164,0.0252,0.3341,0.2196,0.5059,0.4941
7,NB_FMS,0.5443,0.2162,0.9318,0.3509,0.7085,0.2853,0.0904,0.2428,0.2618,0.7387
15,NB_FSS,0.5483,0.2172,0.9280,0.3520,0.7092,0.2859,0.0906,0.2440,0.2617,0.7388
23,NB_SS,0.7966,0.2235,0.2177,0.2206,0.5512,0.1036,0.2259,0.2339,0.4317,0.5683
1,NN_FMS,0.7572,0.1647,0.2055,0.1829,0.5234,0.0427,0.1823,0.1419,0.6043,0.3957
9,NN_FSS,0.7937,0.1814,0.1595,0.1697,0.5249,0.0526,0.1898,0.1340,0.5980,0.4020
17,NN_SS,0.5372,0.1743,0.6694,0.2766,0.5932,0.1263,0.1347,0.2732,0.3805,0.6195
4,RF_FMS,0.8440,0.3357,0.1844,0.2380,0.5644,0.1681,0.0790,0.3331,0.1914,0.8086
12,RF_FSS,0.8423,0.3166,0.1663,0.2181,0.5558,0.1487,0.0794,0.3206,0.1956,0.8044
20,RF_SS,0.5372,0.1743,0.6694,0.2766,0.5932,0.1263,0.1347,0.2735,0.3804,0.6196
6,XGB_FMS,0.6488,0.2538,0.8536,0.3912,0.7356,0.3212,0.0780,0.3544,0.1892,0.8108
14,XGB_FSS,0.6359,0.2502,0.8783,0.3894,0.7386,0.3242,0.0779,0.3663,0.1874,0.8126
22,XGB_SS,0.5372,0.1743,0.6694,0.2766,0.5932,0.1263,0.1347,0.2735,0.3804,0.6196
